Category,Feature,URL,Description,Status (Azure),Risk Assessment (Human),Risk Assessment (AI),Source,Last Checked
AI and machine learning,Managed MCP Servers,,"Databricks managed MCP (Model Context Protocol) servers enable your AI agents to access data and tools governed in Databricks, with data governance and permissions enforced out of the box",PUBLIC_PREVIEW,-,-,Workspace,2026-03-07
AI and machine learning,MCP (Model Context Protocol) on Databricks,https://learn.microsoft.com/en-gb/azure/databricks/generative-ai/mcp/connect-external-services,"Connect non-Databricks (external) clients, AI assistants, and IDEs that support Model Context Protocol (MCP) to Databricks MCP servers. This provides access to Databricks data and tools directly in your development environment.",PUBLIC_PREVIEW,-,-,Docs,2026-03-09
AI and machine learning,MLflow Deployments CRUD API,https://learn.microsoft.com/en-gb/azure/databricks/generative-ai/external-models/,The code examples in this article demonstrate usage of the Public Preview MLflow Deployments CRUD API.,PUBLIC_PREVIEW,-,-,Docs,2026-03-07
AI and machine learning,Multi-agent using Genie,https://learn.microsoft.com/en-gb/azure/databricks/generative-ai/agent-framework/multi-agent-genie,"For new use cases, Databricks recommends deploying agents on Databricks Apps for full control over agent code, server configuration, and deployment workflow. See Author an AI agent and deploy it on Databricks Apps. To migrate an existing agent, see Migrate an agent from Model Serving to Databricks Apps.",PUBLIC_PREVIEW,-,-,Docs,2026-03-08
AI and machine learning,Serverless forecasting,https://learn.microsoft.com/en-gb/azure/databricks/machine-learning/train-model/serverless-forecasting,This article shows you how to run a serverless forecasting experiment using the Mosaic AI Model Training UI.,PUBLIC_PREVIEW,-,-,Docs,2026-03-07
AI and machine learning,sparkdl.xgboost (Deprecated),https://learn.microsoft.com/en-gb/azure/databricks/machine-learning/train-model/sparkdl-xgboost,"sparkdl.xgboost is deprecated starting with Databricks Runtime 12.0 ML, and is removed in Databricks Runtime 13.0 ML and above. For information about migrating your workloads to xgboost.spark, see Migration guide for the deprecated sparkdl.xgboost module.",PUBLIC_PREVIEW,-,-,Docs,2026-03-07
AI and machine learning,Storage Optimized Vector Search,https://docs.databricks.com/en/generative-ai/vector-search#endpoint-options,"This preview introduces Storage Optimized Vector Search. Storage Optimized Vector Search is engineered from the ground up to support massive-scale use cases, with the capacity to handle tens of billions of embeddings. It delivers a dramatically lower price-per-vector cost and significantly enhances ingestion performance, offering a powerful alternative to the Standard Vector Search product for demanding, large-scale applications.",PUBLIC_PREVIEW,-,-,Workspace,2026-03-07
AI and machine learning,Synthetic Agent Evaluation,https://docs.databricks.com/en/generative-ai/agent-evaluation/synthesize-evaluation-set.html,Synthetically generate a high-quality evaluation set for measuring the quality of your agent.,PUBLIC_PREVIEW,-,-,Workspace,2026-03-07
AI and machine learning,Task-specific AI functions,https://learn.microsoft.com/en-gb/azure/databricks/large-language-models/ai-functions,This article describes Azure Databricks AI Functions and the supported functions.,PUBLIC_PREVIEW,-,-,Docs,2026-03-07
AI and machine learning,Custom LLM,https://learn.microsoft.com/en-gb/azure/databricks/generative-ai/agent-bricks/,"This article describes what Agent Bricks is, how it works, and the use cases it supports.",BETA,-,-,Docs,2026-03-07
AI and machine learning,Dashboard Authoring Agent,,"Enables the Dashboard Authoring Agent, which lets users create and edit AI/BI Dashboards using the Databricks Assistant Agent Mode",BETA,-,-,Workspace,2026-03-07
AI and machine learning,Full-text search,https://learn.microsoft.com/en-gb/azure/databricks/vector-search/query-vector-search,"This article describes how to query a vector search index, including how to use filters and reranking.",BETA,-,-,Docs,2026-03-07
AI and machine learning,Genie Agent,https://learn.microsoft.com/en-us/azure/databricks/genie/research-agent,The Genie Agent provides deeper data insights and answers complex business questions using multi-step reasoning and hypothesis investigation.,BETA,-,-,Workspace,2026-03-08
AI and machine learning,Information Extraction,https://learn.microsoft.com/en-gb/azure/databricks/generative-ai/agent-bricks/,"This article describes what Agent Bricks is, how it works, and the use cases it supports.",BETA,-,-,Docs,2026-03-07
AI and machine learning,Managed MLflow Prompt Registry,https://learn.microsoft.com/en-us/azure/databricks/mlflow3/genai/prompt-version-mgmt/prompt-registry/create-and-edit-prompts,"Managed MLflow Prompt Registry on Databricks is a powerful tool that streamlines prompt engineering and management in your Generative AI (GenAI) applications. It enables you to version, track, and reuse prompts across your organization, helping maintain consistency and improving collaboration in prompt development.  The Prompt Registry also enables you to optimize prompts through a native integration with DSPy, delivering higher quality while minimizing time spent on manual prompt engineering.",BETA,-,-,Workspace,2026-03-07
AI and machine learning,Monitor apps in production,https://learn.microsoft.com/en-gb/azure/databricks/mlflow3/genai/eval-monitor/,"MLflow provides comprehensive agent evaluation and LLM evaluation capabilities to help you measure, improve, and maintain the quality of your AI applications. MLflow supports the entire development lifecycle from testing through production monitoring for LLMs, agents, RAG systems, or other GenAI applications.",BETA,-,-,Docs,2026-03-07
AI and machine learning,Mosaic AI Agent Bricks Preview,https://learn.microsoft.com/en-us/azure/databricks/generative-ai/ai-builder/,"Mosaic AI Agent Bricks enables you to build and optimize domain-specific agent systems. Simply select your problem, and Agent Bricks will run optimizations to improve quality and cost, generating a deployable endpoint on Databricks. Additionally, Agent Bricks provides automated evaluation and recommendations to refine your agent systems performance. Enabling this flag will also enable ai_parse_document function; however, for the regions where Agent Bricks is not available, you will only get access to ai_parse_document without Agent Bricks enabled.",BETA,-,-,Workspace,2026-03-07
AI and machine learning,OpenTelemetry on Databricks,https://learn.microsoft.com/en-us/azure/databricks/mlflow3/genai/tracing/trace-unity-catalog,"Enables ingestion of OpenTelemetry data into Unity Catalog managed Delta tables for MLflow Tracing. For direct ingestion via OTLP endpoints, see https://docs.google.com/document/d/1_cMNMbepAy2rt0QuVlSKgWR7bLSvXmVar-BSIdvvAKY.",BETA,-,-,Workspace,2026-03-07
AI and machine learning,Payload logging,https://learn.microsoft.com/en-gb/azure/databricks/ai-gateway/,"AI Gateway is the Databricks solution for governing and monitoring LLM endpoints, coding agents, and model serving endpoints. Use AI Gateway to analyze usage, configure permissions, and manage capacity across providers.",BETA,-,-,Docs,2026-03-09
AI and machine learning,Production Monitoring for MLflow,https://docs.databricks.com/aws/en/mlflow3/genai/eval-monitor/production-monitoring,"This beta enables monitoring of any Generative AI app or agent deployed outside of Databricks OR on Databricks using MLflow 3.0. It provides developers with tools to track both performance metrics (latency, request volume, errors) and quality metrics (accuracy, correctness, compliance), allowing them to detect drift or regressions via LLM-based evaluations on production traffic. Developers can also deep dive into individual requests for debugging and improvement purposes, and export real-world logs into evaluation sets to drive continuous enhancements of their Generative AI applications.",BETA,-,-,Workspace,2026-03-07
AI and machine learning,Serverless GPU compute (Beta),https://learn.microsoft.com/en-gb/azure/databricks/compute/serverless/gpu,This feature is in Beta. Workspace admins can control access to this feature from the Previews page. See Manage Azure Databricks previews.,BETA,-,-,Docs,2026-03-07
AI and machine learning,Usage tracking,https://learn.microsoft.com/en-gb/azure/databricks/ai-gateway/,"AI Gateway is the Databricks solution for governing and monitoring LLM endpoints, coding agents, and model serving endpoints. Use AI Gateway to analyze usage, configure permissions, and manage capacity across providers.",BETA,-,-,Docs,2026-03-09
AI and machine learning,Vector Search Full Text,https://docs.databricks.com/aws/en/generative-ai/create-query-vector-search#query-a-vector-search-endpoint,"When enabled, users can run full-text search queries directly on indices. This bypasses ANN entirely and is especially valuable in scenarios where precise keyword matching is required.",BETA,-,-,Workspace,2026-03-07
AI and machine learning,Vector Search High QPS,https://learn.microsoft.com/en-us/azure/databricks/vector-search/create-vector-search,"Vector Search High QPS (Private Preview) enables significantly higher real-time query throughput for Vector Search by scaling endpoint capacity via replication – so you can serve more concurrent search requests without standing up or load‑balancing across multiple endpoints. In this phase, you manually increase QPS capacity by adjusting endpoint replication and monitor performance using available metrics; support for automatic scaling is planned for later releases.",BETA,-,-,Workspace,2026-03-08
AI and machine learning,Author agents on Databricks Apps (experimental),https://learn.microsoft.com/en-gb/azure/databricks/generative-ai/agent-framework/author-agent-db-app,,EXPERIMENTAL,-,-,Docs,2026-03-07
AI and machine learning,AI/BI Genie,https://learn.microsoft.com/en-gb/azure/databricks/generative-ai/agent-bricks/,"This article describes what Agent Bricks is, how it works, and the use cases it supports.",GA,-,-,Docs,2026-03-07
AI and machine learning,Code your own agent,https://learn.microsoft.com/en-gb/azure/databricks/generative-ai/agent-bricks/,"This article describes what Agent Bricks is, how it works, and the use cases it supports.",GA,-,-,Docs,2026-03-07
AI and machine learning,Knowledge Assistant,https://learn.microsoft.com/en-gb/azure/databricks/generative-ai/agent-bricks/,"This article describes what Agent Bricks is, how it works, and the use cases it supports.",GA,-,-,Docs,2026-03-07
Administration,Audit log system table,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/audit-logs,"This article outlines the audit log table schema and has sample queries you can use with the audit log system table to answer common account activity questions. For information on audit log events, see Diagnostic log reference.",PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,Clean room system table,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/clean-rooms,The clean room events table records actions taken by you or your collaborators on clean rooms in your account. This table includes regional data from across your account.,PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,Context-based ingress control,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/network,"The network access events tables record events where network access is denied. Each row represents an individual event, such as a blocked outbound request to an external domain or a blocked inbound request from a restricted IP.",PUBLIC_PREVIEW,-,-,Docs,2026-03-08
Administration,Data Classification,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/data-classification,This preview allows you to classify and review sensitive data across your entire catalog. This version delivers higher quality detection using a LLM-powered classification engine hosted by Databricks. Customer data will not be retained or shared with Databricks or any third parties.,PUBLIC_PREVIEW,-,-,Workspace,2026-03-10
Administration,Data classification results,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/,This article explains the concept of system tables in Azure Databricks and highlights resources you can use to get the most out of your system tables data.,PUBLIC_PREVIEW,-,-,Docs,2026-03-09
Administration,Data quality monitoring with anomaly detection (workspace level),https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/data-quality-monitoring,"This feature allows you to be alerted on data quality anomalies (e.g. freshness, completeness) for your tables. By learning the behaviors of each table and intelligently setting thresholds, the feature allows you to easily alert on data quality incidents across all your important tables. Currently, the feature is limited to freshness monitoring and is a library you call in a notebook, but will soon also include completeness (row count) monitoring. The table health information will also be published in Unity Catalog so data consumers know if a table has an ongoing data quality incident.",PUBLIC_PREVIEW,-,-,Workspace,2026-03-07
Administration,Databricks Assistant system table,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/assistant,"This page includes a schema reference of the Databricks Assistant events system table and an example that uses the data in a dashboard. Each row in this system table represents a message sent by a user in either the Assistant window or the in-cell Assistant. For more information about the Databricks Assistant, see What is Databricks Assistant?.",PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,Group Manager Role,https://learn.microsoft.com/en-gb/azure/databricks/admin/users-groups/groups,"This page gives an overview of groups in Azure Databricks. For how to manage groups, see Manage groups.",PUBLIC_PREVIEW,-,-,Docs,2026-03-08
Administration,Marketplace funnel events,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/,This article explains the concept of system tables in Azure Databricks and highlights resources you can use to get the most out of your system tables data.,PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,Marketplace listing access,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/,This article explains the concept of system tables in Azure Databricks and highlights resources you can use to get the most out of your system tables data.,PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,Marketplace system tables,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/marketplace,This page provides a reference on how to use system tables to help monitor your Databricks Marketplace selling process.,PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,MLflow system tables,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/mlflow,The MLflow system tables are in Public Preview.,PUBLIC_PREVIEW,-,-,Docs,2026-03-08
Administration,MLflow tracking experiment metadata,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/,This article explains the concept of system tables in Azure Databricks and highlights resources you can use to get the most out of your system tables data.,PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,MLflow tracking run metadata,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/,This article explains the concept of system tables in Azure Databricks and highlights resources you can use to get the most out of your system tables data.,PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,MLflow tracking run metrics,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/,This article explains the concept of system tables in Azure Databricks and highlights resources you can use to get the most out of your system tables data.,PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,Model serving endpoint data,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/,This article explains the concept of system tables in Azure Databricks and highlights resources you can use to get the most out of your system tables data.,PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,Model serving endpoint usage,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/,This article explains the concept of system tables in Azure Databricks and highlights resources you can use to get the most out of your system tables data.,PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,Network access events (Inbound),https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/,This article explains the concept of system tables in Azure Databricks and highlights resources you can use to get the most out of your system tables data.,PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,Outbound network access events,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/network,"The network access events tables record events where network access is denied. Each row represents an individual event, such as a blocked outbound request to an external domain or a blocked inbound request from a restricted IP.",PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,pipeline_update_timeline,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/jobs,The lakeflow schema was previously known as workflow. The content of both schemas is identical.,PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,pipelines,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/jobs,The lakeflow schema was previously known as workflow. The content of both schemas is identical.,PUBLIC_PREVIEW,-,-,Docs,2026-03-10
Administration,Predictive optimization system table,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/predictive-optimization,"To have access to this table, your region must support predictive optimization. See Azure Databricks regions.",PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,Query history system table,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/query-history,"This article includes information on the query history system table, including an outline of the table's schema.",PUBLIC_PREVIEW,-,-,Docs,2026-03-08
Administration,serverless budget policies,https://learn.microsoft.com/en-gb/azure/databricks/admin/account-settings/budgets,This article explains how to use budgets to track spending in your Azure Databricks account.,PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,Serverless Budget Policy Tags,https://learn.microsoft.com/en-gb/azure/databricks/admin/account-settings/usage-detail-tags,"This article explains how to use tags to attribute compute usage to specific workspaces, teams, projects, or users to support cost tracking and budgeting.",PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,Serverless Workspace,https://learn.microsoft.com/en-gb/azure/databricks/admin/workspace/create-workspace,This page describes how to deploy a workspace using the Azure Portal. These instructions can be used to deploy a serverless workspace (Public Preview) or a classic workspace.,PUBLIC_PREVIEW,-,-,Docs,2026-03-08
Administration,SQL warehouse events system table,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/warehouse-events,"In this article, you learn how to use the warehouse events system table to monitor and manage the SQL warehouses in your workspaces. This table records a row for every time a warehouse starts, stops, runs, and scales up and down. You can use the sample queries in this article with alerts to keep you informed of changes to your warehouses.",PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,SQL warehouses system table,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/warehouses,"In this article, you learn how to use the warehouses system table to monitor and manage the SQL warehouses in your workspaces. Each row is a snapshot of the SQL warehouse properties at that moment. A new snapshot is created when the properties change.",PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,Workspaces system table,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/workspaces,"This page explains how to use the workspaces system table to monitor workspaces in your Azure Databricks account. Each row in the table represents the latest known state of an active workspace in your account, including metadata and lifecycle status.",PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Administration,Delta Sharing for Default Storage – Expanded Access,https://learn.microsoft.com/en-gb/azure/databricks/storage/default-storage,This page explains how default storage on Azure Databricks works and how to create catalogs and data objects that use it.,BETA,-,-,Docs,2026-03-08
Administration,Zerobus_ingest,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/zerobus-ingest,"This article is a reference for the zerobus system tables, which track Zerobus Ingest activity in your workspace. These tables include your account records from all workspaces in your same region. To see records from another region, you must view the tables from a workspace deployed in that region.",BETA,-,-,Docs,2026-03-07
Administration,Zerobus_stream,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/zerobus-ingest,"This article is a reference for the zerobus system tables, which track Zerobus Ingest activity in your workspace. These tables include your account records from all workspaces in your same region. To see records from another region, you must view the tables from a workspace deployed in that region.",BETA,-,-,Docs,2026-03-07
Administration,Delta Sharing data materialization events,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/,This article explains the concept of system tables in Azure Databricks and highlights resources you can use to get the most out of your system tables data.,GA,-,-,Docs,2026-03-07
Administration,Job run timeline,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/,This article explains the concept of system tables in Azure Databricks and highlights resources you can use to get the most out of your system tables data.,GA,-,-,Docs,2026-03-07
Administration,Job task timeline,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/,This article explains the concept of system tables in Azure Databricks and highlights resources you can use to get the most out of your system tables data.,GA,-,-,Docs,2026-03-07
Administration,Job tasks,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/,This article explains the concept of system tables in Azure Databricks and highlights resources you can use to get the most out of your system tables data.,GA,-,-,Docs,2026-03-07
Administration,Jobs,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/,This article explains the concept of system tables in Azure Databricks and highlights resources you can use to get the most out of your system tables data.,GA,-,-,Docs,2026-03-07
Administration,Node timeline,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/,This article explains the concept of system tables in Azure Databricks and highlights resources you can use to get the most out of your system tables data.,GA,-,-,Docs,2026-03-07
Administration,Node types,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/,This article explains the concept of system tables in Azure Databricks and highlights resources you can use to get the most out of your system tables data.,GA,-,-,Docs,2026-03-07
Administration,Pricing,https://learn.microsoft.com/en-gb/azure/databricks/admin/system-tables/,This article explains the concept of system tables in Azure Databricks and highlights resources you can use to get the most out of your system tables data.,GA,-,-,Docs,2026-03-07
Apps,Configure apps,https://learn.microsoft.com/en-gb/azure/databricks/dev-tools/databricks-apps/tags,Use tags to organize and categorize Databricks apps for easier management. Databricks Apps also support certification and deprecation system tags to indicate trust or lifecycle status.,PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Apps,Databricks Apps - On-Behalf-Of User Authorization,https://learn.microsoft.com/en-us/azure/databricks/dev-tools/databricks-apps/app-development#-using-the-databricks-apps-authorization-model,Allows the Databricks App to act on behalf of the app user. This enhancement allows the app to honor the user's access permissions defined in Unity Catalog and in Databricks Workspace.,PUBLIC_PREVIEW,-,-,Workspace,2026-03-07
Apps,Databricks Apps - Install Apps from Git,https://learn.microsoft.com/en-us/azure/databricks/dev-tools/databricks-apps/deploy/#deploy-from-a-git-repository,Deploy apps directly from Git into the Apps Runtime for better governance and production-quality control.,BETA,-,-,Workspace,2026-03-09
Business intelligence,Companion Genie spaces for AI/BI dashboards,https://learn.microsoft.com/en-gb/azure/databricks/genie/,"This page introduces AI/BI Genie, an Azure Databricks feature that allows business teams to interact with their data using natural language. It uses generative AI tailored to your organization's terminology and data, with the ability to monitor and refine its performance through user feedback.",PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Business intelligence,File uploads,https://learn.microsoft.com/en-gb/azure/databricks/genie/,"This page introduces AI/BI Genie, an Azure Databricks feature that allows business teams to interact with their data using natural language. It uses generative AI tailored to your organization's terminology and data, with the ability to monitor and refine its performance through user feedback.",PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Business intelligence,Genie - Upload File,https://docs.databricks.com/en/genie/file-upload,"AI/BI Genie now supports a File Upload functionality in this preview. This feature enables users to enhance their analytics capabilities by blending data from the Unity Catalog with their own personal files. Users can interact with their combined datasets using natural language queries, receiving insightful answers quickly and intuitively. Supported file formats for this preview are CSV and Excel files. To get started, turn this preview on and drag files into any Genie space conversation.",PUBLIC_PREVIEW,-,-,Workspace,2026-03-10
Business intelligence,Power BI task type,https://learn.microsoft.com/en-us/azure/databricks/jobs/powerbi,"The Power BI task type in Databricks Workflows allows users to keep Power BI semantic models up-to-date with source data in Unity Catalog. The task can sync table metadata, evolving schemas, and primary/foreign key relationships. It works for DirectQuery and Import mode at the table level, allowing you to define composite models.",PUBLIC_PREVIEW,-,-,Workspace,2026-03-07
Business intelligence,Support Dashboards in Git Folder,https://docs.databricks.com/en/dashboards/git-support.html,Enable version control for Dashboards within Git Folder,PUBLIC_PREVIEW,-,-,Workspace,2026-03-07
Business intelligence,Genie Answer Inspection,https://learn.microsoft.com/en-us/azure/databricks/genie/#inspect-mode,Advanced technique that reviews initial SQL answers and makes improvements in standard Genie,BETA,-,-,Workspace,2026-03-07
Compute,Cluster Log Delivery to UC Volumes,https://learn.microsoft.com/en-us/azure/databricks/compute/configure#cluster-log-delivery,"Allows users to configure a classic compute cluster’s cluster log delivery to a UC volume path through UI or API. Cluster logs for the Spark driver node, worker nodes and events will be delivered to the configured volume path.",PUBLIC_PREVIEW,-,-,Workspace,2026-03-09
Compute,Dedicated compute group access,https://learn.microsoft.com/en-gb/azure/databricks/compute/dedicated-overview,This page provides an overview of dedicated compute access mode.,PUBLIC_PREVIEW,-,-,Docs,2026-03-07
Compute,Default Python package repositories in clusters created via API,https://learn.microsoft.com/en-us/azure/databricks/admin/workspace-settings/default-python-packages,Apply the default Python package repositories in clusters created via API. The changes of configurations apply to newly created clusters and existing clusters upon restart.,PUBLIC_PREVIEW,-,-,Workspace,2026-03-09
Compute,Default Python package repositories in clusters created via UI,https://learn.microsoft.com/en-us/azure/databricks/admin/workspace-settings/default-python-packages,Apply the default Python package repositories in clusters created via UI. The changes of configurations apply to newly created clusters and existing clusters upon restart.,PUBLIC_PREVIEW,-,-,Workspace,2026-03-09
Compute,High memory option for serverless notebooks & jobs,https://learn.microsoft.com/en-us/azure/databricks/compute/serverless/dependencies#high-memory,This preview brings the ability to increase available memory for serverless notebooks and jobs to help customers avoid out-of-memory crashes.,PUBLIC_PREVIEW,-,-,Workspace,2026-03-07
Compute,Serverless JARs,https://learn.microsoft.com/en-gb/azure/databricks/jobs/jar,"Deploy Scala and Java jobs as Jars on serverless compute with faster startup, auto-scaling, and no cluster management",PUBLIC_PREVIEW,-,-,Workspace,2026-03-08
Compute,Workspace base environments for serverless compute,https://learn.microsoft.com/en-us/azure/databricks/admin/workspace-settings/base-environment,Workspace base environments ensure that users automatically have a predefined environment version and set of Python packages available in their notebooks.,PUBLIC_PREVIEW,-,-,Workspace,2026-03-07
